"File","Valid","Number of tokens","Coverage","Number of errors","Errors","Number of warnings","Warnings"
"SM201A.CBL","true","2444","99.263504","0","","3","[60:62|COPY|60:65] Water in the file section.
[77:62|COPY|77:65] Water in the file section.
[99:24|COPY|99:27] Water in the working storage section."
"SM202A.CBL","true","2298","100.0","0","","0",""
"SM203A.CBL","true","1841","99.619774","0","","0",""
"SM204A.CBL","true","1948","100.0","0","","0",""
"SM205A.CBL","true","2778","99.78402","0","","1","[60:62|COPY|60:65] Water in the file section."
"SM206A.CBL","false","2541","0.0","1","[644:20|MOVE|644:23] Not all input was consumed.","0",""
"SM207A.CBL","true","1734","100.0","0","","0",""
"SM208A.CBL","false","1790","0.0","1","[343:33|=|343:33] Not all input was consumed.","1","[342:12|MOVE|342:15] MOVE not in move statement."
"SM301M.CBL","true","40","100.0","0","","0",""
"SM401M.CBL","true","51","100.0","0","","0",""
"SQ101M.CBL","true","6597","100.0","0","","0",""
"SQ102A.CBL","true","3350","99.67164","0","","0",""
"SQ103A.CBL","true","4074","100.0","0","","0",""
"SQ104A.CBL","true","3362","99.64307","0","","0",""
"SQ105A.CBL","true","4318","100.0","0","","0",""
"SQ106A.CBL","true","8764","100.0","0","","0",""
"SQ107A.CBL","true","3210","100.0","0","","0",""
"SQ108A.CBL","true","3687","100.0","0","","0",""
"SQ109M.CBL","true","2830","100.0","0","","0",""
"SQ110M.CBL","true","2824","100.0","0","","0",""
"SQ111A.CBL","true","2406","100.0","0","","0",""
"SQ112A.CBL","true","3135","100.0","0","","0",""
"SQ113A.CBL","true","3981","99.62321","0","","0",""
"SQ114A.CBL","true","4039","99.876205","0","","0",""
"SQ115A.CBL","true","2753","100.0","0","","0",""
"SQ116A.CBL","true","4287","100.0","0","","0",""
"SQ117A.CBL","true","3770","100.0","0","","0",""
"SQ121A.CBL","true","2819","100.0","0","","0",""
"SQ122A.CBL","true","2988","100.0","0","","0",""
"SQ123A.CBL","true","3350","100.0","0","","0",""
"SQ124A.CBL","true","4298","99.651","0","","0",""
"SQ125A.CBL","true","2527","100.0","0","","0",""
"SQ126A.CBL","true","2834","100.0","0","","0",""
"SQ127A.CBL","true","2821","100.0","0","","0",""
"SQ128A.CBL","true","2676","100.0","0","","0",""
"SQ129A.CBL","true","2460","100.0","0","","0",""
"SQ130A.CBL","true","2142","100.0","0","","0",""
"SQ131A.CBL","true","2283","100.0","0","","0",""
"SQ132A.CBL","true","2485","100.0","0","","0",""
"SQ133A.CBL","true","4123","99.75746","0","","0",""
"SQ134A.CBL","true","4062","99.753815","0","","0",""
"SQ135A.CBL","true","2540","100.0","0","","0",""
"SQ136A.CBL","true","3215","100.0","0","","0",""
"SQ137A.CBL","true","3218","100.0","0","","0",""
"SQ138A.CBL","true","3230","100.0","0","","0",""
"SQ139A.CBL","true","2568","100.0","0","","0",""
"SQ140A.CBL","true","2575","100.0","0","","0",""
"SQ141A.CBL","true","2468","100.0","0","","0",""
"SQ142A.CBL","true","2474","100.0","0","","0",""
"SQ143A.CBL","true","2136","100.0","0","","0",""
"SQ144A.CBL","true","3199","99.6874","0","","0",""
"SQ146A.CBL","true","2243","100.0","0","","0",""
"SQ147A.CBL","true","2609","100.0","0","","0",""
"SQ148A.CBL","true","2863","100.0","0","","0",""
"SQ149A.CBL","true","2241","100.0","0","","0",""
"SQ150A.CBL","true","2249","100.0","0","","0",""
"SQ151A.CBL","true","2538","100.0","0","","0",""
"SQ152A.CBL","true","2571","100.0","0","","0",""
"SQ153A.CBL","true","2434","100.0","0","","0",""
"SQ154A.CBL","true","2235","100.0","0","","0",""
"SQ155A.CBL","true","2267","100.0","0","","0",""
"SQ156A.CBL","true","2267","100.0","0","","0",""
"SQ201M.CBL","true","3152","100.0","0","","0",""
"SQ202A.CBL","true","2283","100.0","0","","0",""
"SQ203A.CBL","true","2589","100.0","0","","0",""
"SQ204A.CBL","true","3038","100.0","0","","0",""
"SQ205A.CBL","true","2778","100.0","0","","0",""
"SQ206A.CBL","true","3290","99.63403","0","","0",""
"SQ207M.CBL","true","2065","100.0","0","","0",""
"SQ208M.CBL","true","3104","100.0","0","","0",""
"SQ209M.CBL","true","2159","100.0","0","","0",""
"SQ210M.CBL","true","1788","100.0","0","","0",""
"SQ211A.CBL","true","2381","100.0","0","","0",""
"SQ212A.CBL","true","3095","100.0","0","","0",""
"SQ213A.CBL","true","3070","100.0","0","","0",""
"SQ214A.CBL","true","2811","100.0","0","","0",""
"SQ215A.CBL","true","2690","100.0","0","","0",""
"SQ216A.CBL","true","2833","100.0","0","","0",""
"SQ217A.CBL","true","2838","100.0","0","","0",""
"SQ218A.CBL","true","3218","100.0","0","","0",""
"SQ219A.CBL","true","3217","99.658066","0","","0",""
"SQ220A.CBL","true","3304","100.0","0","","0",""
"SQ221A.CBL","true","3295","100.0","0","","0",""
"SQ222A.CBL","true","3233","100.0","0","","0",""
"SQ223A.CBL","true","3266","100.0","0","","0",""
"SQ224A.CBL","true","2439","100.0","0","","0",""
"SQ225A.CBL","true","2575","100.0","0","","0",""
"SQ226A.CBL","true","5677","99.771","0","","0",""
"SQ227A.CBL","true","4142","99.613716","0","","0",""
"SQ228A.CBL","true","3245","99.506935","0","","0",""
"SQ229A.CBL","true","2554","100.0","0","","0",""
"SQ230A.CBL","true","2249","100.0","0","","0",""
"SQ302M.CBL","true","155","98.70968","0","","0",""
"SQ303M.CBL","true","108","94.44444","0","","0",""
"SQ401M.CBL","true","281","95.71429","0","","0",""
"ST101A.CBL","true","2634","100.0","0","","0",""
"ST102A.CBL","true","188","100.0","0","","0",""
"ST103A.CBL","true","2240","100.0","0","","0",""
"ST104A.CBL","true","1818","100.0","0","","0",""
"ST105A.CBL","true","2115","100.0","0","","0",""
"ST106A.CBL","true","1890","100.0","0","","0",""
"ST107A.CBL","true","2519","100.0","0","","0",""
"ST108A.CBL","true","2784","100.0","0","","0",""
"ST109A.CBL","true","1874","100.0","0","","0",""
"ST110A.CBL","true","342","97.36842","0","","0",""
"ST111A.CBL","true","2413","100.0","0","","0",""
"ST112M.CBL","true","1944","100.0","0","","0",""
"ST113M.CBL","true","138","94.927536","0","","0",""
"ST114M.CBL","true","2260","100.0","0","","0",""
"ST115A.CBL","true","2432","100.0","0","","0",""
"ST116A.CBL","true","360","100.0","0","","0",""
"ST117A.CBL","true","2382","100.0","0","","0",""
"ST118A.CBL","true","2793","100.0","0","","0",""
"ST119A.CBL","true","3934","100.0","0","","0",""
"ST120A.CBL","true","188","100.0","0","","0",""
"ST121A.CBL","true","2240","100.0","0","","0",""
"ST122A.CBL","true","1878","100.0","0","","0",""
"ST123A.CBL","true","341","97.3607","0","","0",""
"ST124A.CBL","true","2417","100.0","0","","0",""
"ST125A.CBL","true","1963","100.0","0","","0",""
"ST126A.CBL","true","4178","100.0","0","","0",""
